ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
1,16,HORTALEZA,AVDA. NICETO ALCALA ZAMORA / AUTOV. M-11,,,3,
2,1,CENTRO,CALL. TESORO / CALL. MINAS,,,18,
3,7,CHAMBERÍ,GTA. RUIZ JIMENEZ / CALL. SAN BERNARDO,,,3,
4,6,TETUÁN,"CALL. PINOS ALTA, 93",,,93,
5,10,LATINA,CTRA. BARRIO DE LA FORTUNA / CALL. PINAR DE SAN JOSE,,,14,
6,9,MONCLOA-ARAVACA,"CTRA. CIUDAD UNIVERSITARIA, 0",,,0,
7,3,RETIRO,"AUTOV. M-30, 08NL00",,,08NL00,
8,13,PUENTE DE VALLECAS,"CALL. PUERTO ALTO, 48",,,48,
9,14,MORATALAZ,"AVDA. DOCTOR GARCIA TAPIA, 64",,,64,
10,11,CARABANCHEL,"AVDA. POBLADOS, 80",,,80,
11,1,CENTRO,CALL. LUNA / CALL. CORREDERA BAJA DE SAN PABLO,,,1,
12,11,CARABANCHEL,"CALL. MARIA ODIAGA, 20",,,20,
13,4,SALAMANCA,CALL. CONDE DE PEÑALVER / CALL. PADILLA,,,64,
14,7,CHAMBERÍ,"PASEO. CASTELLANA, 33",,,33,
15,9,MONCLOA-ARAVACA,"CALL. SANCHEZ PRECIADO, 41",,,41,
16,5,CHAMARTÍN,"CALL. SERRANO, 203",,,203,
17,11,CARABANCHEL,CALL. GENERAL RICARDOS / CALL. PARRA,,,159,
18,11,CARABANCHEL,CALL. ALEJANDRO MORAN / CALL. GENERAL RICARDOS,,,2,
19,13,PUENTE DE VALLECAS,"CALL. AURORA IGLESIAS, 11",,,11,
20,19,VICÁLVARO,CMNO. VIEJO DE VICALVARO / AUTOV. M-40,,,7,
21,2,ARGANZUELA,PASEO. DELICIAS / CALL. VIZCAYA,,,28,
22,4,SALAMANCA,"CALL. ALMERIA, 8",,,8,
23,7,CHAMBERÍ,"CALL. ISAAC PERAL, 32",,,32,
24,19,VICÁLVARO,CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA,,,2,
25,8,FUENCARRAL-EL PARDO,CALL. LA CABRERA / CALL. CANDIDO MATEOS,,,2,
26,2,ARGANZUELA,"AVDA. PLANETARIO, 36",,,36,
27,3,RETIRO,"AVDA. MENENDEZ PELAYO, 20",,,20,
28,12,USERA,AVDA. LOS ROSALES / CALL. CORINDON,,,19,
29,2,ARGANZUELA,"CALL. MENDEZ ALVARO, 16",,,16,
30,4,SALAMANCA,"CALL. JOSE ORTEGA Y GASSET, 98",,,98,
31,5,CHAMARTÍN,CALL. JOSE VASCONCELOS / CALL. MAURICIO LEGENDRE,,,2,
32,18,VILLA DE VALLECAS,CALL. GONZALEZ DAVILA / CMNO. HORMIGUERAS,,,24,
33,6,TETUÁN,"CALL. PAMPLONA, 15",,,15,
34,2,ARGANZUELA,"PASEO. IMPERIAL, 20",,,20,
35,21,BARAJAS,"AEROP. TERMINAL T-4, LLEGADAS, LINEA DE TAXIS",,,0,
36,10,LATINA,"PASEO. EXTREMADURA, 302",,,302,
37,17,VILLAVERDE,GTA. LOZARES / AVDA. REAL DE PINTO,,,0,
38,8,FUENCARRAL-EL PARDO,AVDA. CARDENAL HERRERA ORIA / AUTOV. M-607,,,83,
39,21,BARAJAS,AVDA. SUR DEL AEROPUERTO DE BARAJAS / CALL. TRESPADERNE,,,4,
40,4,SALAMANCA,"CALL. CLAUDIO COELLO, 55",,,55,
41,1,CENTRO,"PASEO. VIRGEN DEL PUERTO, 4",,,4,
42,20,SAN BLAS-CANILLEJAS,CALL. ALCALA / AVDA. CANILLEJAS A VICALVARO,,,567,
43,13,PUENTE DE VALLECAS,"CALL. CERRO DE LA ALCAZABA, 11",,,11,
44,20,SAN BLAS-CANILLEJAS,CALL. MARSELLA / CALL. ZURICH,,,29,
45,11,CARABANCHEL,"CALL. SAN ANTOLIN, 1",,,1,
46,10,LATINA,CALL. CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN / CALL. CARAMUEL,,,4,
