incidente_id,tipo_registro_key,date_key,ubicacion_key,vehicle_type_key,person_key,route_key,accident_type_key,event_type_key,severity_key,motive_key,positive_alcohol,positive_drug,duration_minutes
1,1,20240104,1.0,1.0,1.0,340.0,1.0,,3.0,,N,N,
2,1,20240104,1.0,2.0,2.0,452.0,1.0,,2.0,,N,N,
3,1,20240215,2.0,3.0,3.0,129.0,1.0,,3.0,,N,N,
4,1,20240215,2.0,4.0,4.0,567.0,1.0,,2.0,,N,N,
5,1,20240218,3.0,2.0,3.0,196.0,2.0,,4.0,,N,N,
6,1,20240218,3.0,2.0,1.0,574.0,2.0,,4.0,,N,N,
7,1,20240225,4.0,5.0,3.0,,2.0,,2.0,,N,N,
8,1,20240225,4.0,6.0,5.0,481.0,2.0,,2.0,,N,S,
9,1,20240307,5.0,7.0,6.0,236.0,3.0,,4.0,,N,S,
10,1,20240307,5.0,2.0,3.0,418.0,3.0,,7.0,,N,S,
11,1,20240327,6.0,2.0,7.0,578.0,4.0,,4.0,,N,N,
12,1,20240101,7.0,2.0,3.0,130.0,5.0,,2.0,,N,S,
13,1,20240101,7.0,2.0,3.0,372.0,5.0,,2.0,,N,N,
14,1,20240101,7.0,2.0,8.0,329.0,5.0,,2.0,,N,N,
15,1,20240101,7.0,2.0,1.0,174.0,5.0,,2.0,,N,N,
16,1,20240101,7.0,2.0,9.0,,5.0,,5.0,,N,N,
17,1,20240101,7.0,2.0,10.0,240.0,5.0,,3.0,,N,S,
18,1,20240101,7.0,2.0,11.0,434.0,5.0,,2.0,,N,N,
19,1,20240101,7.0,2.0,12.0,26.0,5.0,,2.0,,N,N,
20,1,20240101,7.0,2.0,13.0,412.0,5.0,,2.0,,N,N,
21,1,20240101,8.0,2.0,5.0,427.0,4.0,,4.0,,S,S,
22,1,20240101,8.0,2.0,14.0,48.0,4.0,,4.0,,N,N,
23,1,20240101,8.0,2.0,14.0,290.0,4.0,,4.0,,N,N,
