idVehiculo,deposito,tipoVehiculo,motivo,turno,grua,fechaEntrada,tipoVia,via,numero,cp
CM20241216060430,COMISARIA,3.0,29,3,S387,2024-12-16T06:02:00,CALLE,CUESTA,1,28026
CO20240101041149,COLON,3.0,44,3,S364,2024-01-01T04:05:00,CALLE,MARTIN DE LOS HEROS,73,28008
CO20240101051114,COLON,3.0,46,3,S300,2024-01-01T05:10:00,CALLE,VITAL AZA,50,28017
CO20240101051804,COLON,3.0,44,3,S363,2024-01-01T05:10:00,CALLE,PRINCESA DE EBOLI,16,28050
CO20240101112324,COLON,3.0,7,1,S363,2024-01-01T11:22:00,CALLE,FUENCARRAL,126,28004
CO20240101120502,COLON,3.0,6,1,S334,2024-01-01T12:02:00,CALLE,SIERRA CARBONERA,29,28053
CO20240101124215,COLON,1.0,8,1,S373,2024-01-01T12:40:00,CALLE,AMANIEL,3,28015
CO20240101124618,COLON,1.0,8,1,S373,2024-01-01T12:43:00,CALLE,QUIÑONES,19,28015
CO20240101124739,COLON,1.0,8,1,S373,2024-01-01T12:46:00,CALLE,QUIÑONES,19,28015
CO20240101134246,COLON,3.0,7,1,S357,2024-01-01T13:35:00,CALLE,CERVANTES,21,28014
CO20240101160841,COLON,3.0,44,2,S363,2024-01-01T16:06:00,CALLE,JESUS APRENDIZ,11,28007
CO20240101165920,COLON,3.0,44,2,S311,2024-01-01T16:57:00,VALLE,DE LA FUENFRIA,4,28034
CO20240101174817,COLON,3.0,44,2,S333,2024-01-01T17:47:00,AVENIDA,PABLO NERUDA,102,28018
CO20240101203034,COLON,3.0,14,2,S363,2024-01-01T20:29:00,CALLE,SERRANO ,0,28001
CO20240101213818,COLON,3.0,14,2,S357,2024-01-01T21:36:00,CALLE,ALCALA,,28022
CO20240102030112,COLON,3.0,46,3,S370,2024-01-02T03:00:00,AVENIDA,DE LOS ARCES,24,28042
CO20240102033648,COLON,3.0,5,3,S363,2024-01-02T03:25:00,CALLE,GENERAL PARDIÑAS,64,28006
CO20240102051333,COLON,3.0,7,3,S369,2024-01-02T05:05:00,CALLE,LEGANITOS,12,28013
CO20240102081314,COLON,3.0,7,1,S364,2024-01-02T08:11:00,CALLE,SILVANO,0,28000
CO20240102081803,COLON,3.0,7,1,S348,2024-01-02T08:15:00,CALLE,SAN ROMAN DEL VALLE,SN,28037
CO20240102083101,COLON,3.0,7,1,S300,2024-01-02T08:29:00,CALLE,ALCORISA,SN,00000
CO20240102084134,COLON,3.0,7,1,S363,2024-01-02T08:40:00,CALLE,ALCORISA,0,00000
CO20240102084601,COLON,3.0,7,1,S369,2024-01-02T08:40:00,CALLE,ALCORISA,SN,00000
CO20240102090443,COLON,3.0,7,1,S364,2024-01-02T09:00:00,CALLE,GENERAL PARDIÑAS,106,28001
CO20240102092251,COLON,3.0,7,1,S332,2024-01-02T09:20:00,CALLE,AUGUSTO FIGUEROA,36,28005
CO20240102093133,COLON,3.0,7,1,S302,2024-01-02T09:29:00,CALLE,GENERAL PARDIÑAS,100,28006
CO20240102094654,COLON,3.0,7,1,S333,2024-01-02T09:45:00,CALLE,MONTESA,18,00000
CO20240102095749,COLON,3.0,7,1,S330,2024-01-02T09:55:00,CALLE,MONTESA,18,00000
CO20240102100248,COLON,3.0,3,1,S340,2024-01-02T10:00:00,CALLE,AUGUSTO FIGUEROA,22,28005
CO20240102101044,COLON,3.0,60,1,S317,2024-01-02T10:08:00,CALLE,DE LOS REYES MAGOS,4,28007
CO20240102103255,COLON,3.0,31,1,S357,2024-01-02T10:15:00,CALLE,MONTESA,18,00000
CO20240102104428,COLON,3.0,32,1,S300,2024-01-02T10:35:00,CALLE,REYES MAGOS,4,28007
CO20240102104734,COLON,3.0,31,1,S369,2024-01-02T10:45:00,CALLE,DOCTOR CASTELO,10,28009
CO20240102105605,COLON,3.0,31,1,S303,2024-01-02T10:55:00,CALLE,DOCTOR CASTELO,10,28009
CO20240102111724,COLON,3.0,19,1,S309,2024-01-02T11:15:00,CALLE,ENRIQUE VELASCO,42,28030
CO20240102123421,COLON,3.0,7,1,S300,2024-01-02T12:30:00,AVENIDA,CAPITAL DE ESPAÑAMADRID,SN,28042
CO20240102174826,COLON,3.0,19,2,S357,2024-01-02T17:46:00,CALLE,PADRE DAMIAN,,28036
CO20240102190023,COLON,3.0,7,2,S369,2024-01-02T18:58:00,CALLE,MAYOR,13,28013
CO20240103053007,COLON,3.0,13,3,S369,2024-01-03T05:25:00,AVENIDA,DEL ENSANCHE DE VALLECAS,67,28051
CO20240103054933,COLON,3.0,39,3,S357,2024-01-03T05:40:00,ACCES,M 31,SN,00000
CO20240103100354,COLON,3.0,31,1,S347,2024-01-03T10:01:00,CALLE,LARRA,16,0000 
CO20240103101345,COLON,3.0,30,1,S369,2024-01-03T10:11:00,CALLE,NIEREMBERG,18,28002
CO20240103104251,COLON,3.0,30,1,S300,2024-01-03T10:41:00,CALLE,NIEREMBERG,18,28002
CO20240103104429,COLON,3.0,6,1,S363,2024-01-03T10:43:00,CALLE,DEL CAMINO DE LOS VINATATEROS,38,28030
CO20240103111302,COLON,3.0,7,1,S306,2024-01-03T11:10:00,CALLE,JUAN DE URBIETA,37,28013
CO20240103111540,COLON,3.0,30,1,S347,2024-01-03T11:10:00,CALLE,NIEREMBERG,31,28002
CO20240103112140,COLON,3.0,30,1,S369,2024-01-03T11:10:00,CALLE,NIEREMBERG,SN,28002
CO20240103115026,COLON,3.0,7,1,S313,2024-01-03T11:48:00,CALLE,JUAN DE URBIETA,37,28013
CO20240103121104,COLON,3.0,6,1,S300,2024-01-03T12:09:00,CALLE,RAFAELA BONILLA,17,28028
CO20240103121852,COLON,3.0,31,1,S363,2024-01-03T12:15:00,CALLE,JUAN DE AUSTRIA,SN,28010
CO20240103124410,COLON,3.0,6,1,S364,2024-01-03T12:42:00,CALLE,JULIAN CAMARILLO,29,28037
CO20240103132619,COLON,3.0,31,1,S332,2024-01-03T13:24:00,CALLE,PALAFOX,1,28010
CO20240103134404,COLON,3.0,54,1,S357,2024-01-03T13:42:00,CALLE,PADRE DAMIAN,35,28036
CO20240103163848,COLON,3.0,8,2,S363,2024-01-03T16:35:00,CALLE,PELAYO,72,28004
CO20240103174051,COLON,3.0,44,2,S357,2024-01-03T17:39:00,CALLE,MANUEL DE FALLA,,28036
CO20240103174912,COLON,3.0,30,2,S358,2024-01-03T17:46:00,CALLE,CORREGIDOR DIEGO DE VALDERRABANO,72,28030
CO20240103181051,COLON,3.0,54,2,S343,2024-01-03T18:08:00,ZONA,AEROPUERTO BARAJAS T1 SALIDAS,0,0    
CO20240103212657,COLON,3.0,30,2,S357,2024-01-03T21:25:00,CALLE,CORREGIDOR DIEGO VALDERRABANO,35,28030
CO20240103215329,COLON,3.0,44,2,S358,2024-01-03T21:52:00,CALLE,HORTALEZA,76,28004
CO20240103232308,COLON,3.0,44,3,S318,2024-01-03T23:19:00,CALLE,CARMEN BRUGUERA,18,28026
CO20240104001157,COLON,3.0,8,3,S369,2024-01-04T00:10:00,CALLE,MERIDA,27,28030
CO20240104021009,COLON,3.0,6,3,S353,2024-01-04T02:05:00,AVENIDA,ALBUFERA,143,28031
CO20240104042553,COLON,3.0,6,3,S375,2024-01-04T04:20:00,CALLE,VILLANUEVA,2,28001
