id,commonName,placeType,lat,lon
BikePoints_1,"River Street , Clerkenwell",BikePoint,51.529163,-0.10997
BikePoints_2,"Phillimore Gardens, Kensington",BikePoint,51.499606,-0.197574
BikePoints_3,"Christopher Street, Liverpool Street",BikePoint,51.521283,-0.084605
BikePoints_4,"St. Chad's Street, King's Cross",BikePoint,51.530059,-0.120973
BikePoints_5,"Sedding Street, Sloane Square",BikePoint,51.49313,-0.156876
BikePoints_6,"Broadcasting House, Marylebone",BikePoint,51.518117,-0.144228
BikePoints_7,"Charlbert Street, St. John's Wood",BikePoint,51.5343,-0.168074
BikePoints_8,"Maida Vale, Maida Vale",BikePoint,51.529857,-0.183486
BikePoints_9,"New Globe Walk, Bankside",BikePoint,51.507385,-0.09644
BikePoints_10,"Park Street, Bankside",BikePoint,51.505974,-0.092754
BikePoints_11,"Brunswick Square, Bloomsbury",BikePoint,51.523951,-0.122502
BikePoints_12,"Malet Street, Bloomsbury",BikePoint,51.52168,-0.130431
BikePoints_13,"Scala Street, Fitzrovia",BikePoint,51.519914,-0.136039
BikePoints_14,"Argyle Street, Kings Cross",BikePoint,51.529416,-0.123944
BikePoints_15,"Great Russell Street, Bloomsbury",BikePoint,51.517727,-0.127854
BikePoints_16,"Cartwright Gardens , Bloomsbury",BikePoint,51.526357,-0.125979
BikePoints_17,"Hatton Wall, Holborn",BikePoint,51.521661,-0.109006
BikePoints_18,"Drury Lane, Covent Garden",BikePoint,51.51477,-0.122219
BikePoints_19,"Taviton Street, Bloomsbury",BikePoint,51.52505,-0.131161
BikePoints_20,"Drummond Street , Euston",BikePoint,51.527326,-0.136052
BikePoints_21,"Lansdowne Drive, Hackney Central",BikePoint,51.539834,-0.062806
BikePoints_22,"Northington Street , Holborn",BikePoint,51.522264,-0.114079
BikePoints_23,"Red Lion Square, Holborn",BikePoint,51.519435,-0.119123
BikePoints_24,"British Museum, Bloomsbury",BikePoint,51.51908,-0.124678
BikePoints_25,"Doric Way , Somers Town",BikePoint,51.528833,-0.13225
BikePoints_26,"Ampton Street , Clerkenwell",BikePoint,51.52728,-0.118295
BikePoints_28,"Bolsover Street, Fitzrovia",BikePoint,51.523518,-0.143613
BikePoints_29,"Hereford Road, Bayswater",BikePoint,51.513735,-0.193487
BikePoints_30,"Windsor Terrace, Hoxton",BikePoint,51.529154,-0.093421
BikePoints_31,"Fanshaw Street, Hoxton",BikePoint,51.529537,-0.083353
BikePoints_33,"Central House, Aldgate",BikePoint,51.515231,-0.07015
BikePoints_34,"Pancras Road, King's Cross",BikePoint,51.534123,-0.129386
BikePoints_36,"De Vere Gardens, Kensington",BikePoint,51.501737,-0.18498
BikePoints_37,"Penywern Road, Earl's Court",BikePoint,51.491593,-0.192369
BikePoints_38,"Abingdon Villas, Kensington",BikePoint,51.497387,-0.197245
BikePoints_39,"Shoreditch High Street, Shoreditch",BikePoint,51.526377,-0.07813
BikePoints_40,"Commercial Street, Shoreditch",BikePoint,51.52127,-0.075578
BikePoints_41,"Pindar Street, Liverpool Street",BikePoint,51.520955,-0.083493
BikePoints_42,"Wenlock Road , Hoxton",BikePoint,51.530991,-0.093903
BikePoints_43,"Crawford Street, Marylebone",BikePoint,51.52026,-0.157183
BikePoints_44,"Bruton Street, Mayfair",BikePoint,51.510736,-0.144165
BikePoints_45,"Boston Place, Marylebone",BikePoint,51.522511,-0.162298
BikePoints_46,"Nesham Street, Wapping",BikePoint,51.507131,-0.06691
BikePoints_47,"Warwick Avenue Station, Maida Vale",BikePoint,51.523344,-0.183846
BikePoints_48,"Godliman Street, St. Paul's",BikePoint,51.512484,-0.099141
BikePoints_49,"Curzon Street, Mayfair",BikePoint,51.507069,-0.145904
BikePoints_50,"East Road, Hoxton",BikePoint,51.528673,-0.087459
BikePoints_51,"Finsbury Library , Finsbury",BikePoint,51.526717,-0.104298
BikePoints_52,"Roscoe Street, St. Luke's",BikePoint,51.522954,-0.094934
BikePoints_53,"Grafton Street, Mayfair",BikePoint,51.509992,-0.143495
BikePoints_54,"Golden Lane, Barbican",BikePoint,51.521747,-0.094475
BikePoints_55,"Finsbury Circus, Liverpool Street",BikePoint,51.517075,-0.086685
BikePoints_56,"Paddington Street, Marylebone",BikePoint,51.520583,-0.154701
