nombre,comunidad,zona_general,tipo_evento,fecha_inicio,fecha_fin,descripcion
San Silvestre Vallecana,Comunidad de Madrid,Sureste,Deportivo,2024-12-31,,Carrera popular de 10 km en Vallecas
Mad Cool Festival,Comunidad de Madrid,Noreste,Música,2024-07-10,2024-07-12,"Festival de música pop, rock e indie en Valdebebas"
Festival Río Babel,Comunidad de Madrid,Centro,Música,2024-07-04,2024-07-05,"Festival de música española, latina e internacional"
Carmen (Teatro),Comunidad de Madrid,Centro,Ópera,2024-05-08,2024-05-18,150 años de la ópera 'Carmen' en el Teatro Real
La Traviata,Comunidad de Madrid,Centro,Ópera,2024-06-24,2024-07-23,Producción de Verdi en el Teatro Real
Madrid Urban Fest,Comunidad de Madrid,Centro,Cultura urbana,2024-10-25,2024-11-09,"Festival con conciertos, DJs y breakdance"
Hispanidad,Comunidad de Madrid,Centro,Cultural,2024-10-04,2024-10-13,Actividades culturales en espacios públicos
Manifestación 25N,Comunidad de Madrid,Centro,Protesta,2024-11-25,,Marcha contra violencia de género desde Atocha y Cibeles
Europa Viva 24,Comunidad de Madrid,Centro,Protesta,2024-05-19,,Marcha contra congreso de Vox en Plaza de Colón
Pro-palestina,Comunidad de Madrid,Centro,Protesta,2024-09-27,,Manifestación en apoyo a Palestina en el centro de Madrid
Final Champions League,Comunidad de Madrid,Internacional,Deportivo,2024-06-01,,Real Madrid gana la final en Wembley
Supercopa de España,Comunidad de Madrid,Internacional,Deportivo,2024-01-10,2024-01-14,"Real Madrid campeón, aunque celebrada en Arabia Saudí"
Conciertos en Metropolitano,Comunidad de Madrid,Este,Música,2024-06,2024-07,Bruce Springsteen y Metallica en el estadio Metropolitano
Concierto de Lola Índigo en el Bernabéu,Comunidad de Madrid,Centro,Música,2024-06-22,2024-06-22,Concierto de Lola Índigo en el estadio Santiago Bernabéu
Concierto de Aitana en el Bernabéu,Comunidad de Madrid,Centro,Música,2024-12-28,2024-12-28,Concierto de Aitana en el estadio Santiago Bernabéu
