linea_id,linea_nombre,orden,parada
151,MADRID (Plaza de Castilla) - ALCOBENDAS,1,INTERCAMBIADOR DE PLAZA CASTILLA
151,MADRID (Plaza de Castilla) - ALCOBENDAS,2,Pº CASTELLANA-HOSPITAL LA PAZ
151,MADRID (Plaza de Castilla) - ALCOBENDAS,3,AV.BURGOS-AV.MANOTERAS
151,MADRID (Plaza de Castilla) - ALCOBENDAS,4,AV.BURGOS-FCO.PI Y MARGALL
151,MADRID (Plaza de Castilla) - ALCOBENDAS,5,AV.BURGOS-C.C.SANCHINARRO
151,MADRID (Plaza de Castilla) - ALCOBENDAS,6,AV.BURGOS-DOMINICOS
151,MADRID (Plaza de Castilla) - ALCOBENDAS,7,CTRA.A1-CUESTA BLANCA
151,MADRID (Plaza de Castilla) - ALCOBENDAS,8,CTRA.IRÚN-CONCESIONARIO
151,MADRID (Plaza de Castilla) - ALCOBENDAS,9,AV.OLÍMPICA-C.C.LA VEGA
151,MADRID (Plaza de Castilla) - ALCOBENDAS,10,AV.OLÍMPICA-C.C.LA VEGA
151,MADRID (Plaza de Castilla) - ALCOBENDAS,11,AV.OLÍMPICA-PABELLÓN DEPORTIVO
151,MADRID (Plaza de Castilla) - ALCOBENDAS,12,AV.ESPAÑA-M.SEBASTIÁN IZUEL
151,MADRID (Plaza de Castilla) - ALCOBENDAS,13,MARQUESA VIUDA DE ALDAMA-NªSRA.DEL PILAR
151,MADRID (Plaza de Castilla) - ALCOBENDAS,14,MARQUÉS VALDAVIA-RAMÓN FDEZ.GUISASOLA
151,MADRID (Plaza de Castilla) - ALCOBENDAS,15,MARQUÉS VALDAVIA-NEMESIO CASTRO
151,MADRID (Plaza de Castilla) - ALCOBENDAS,16,MARQUÉS VALDAVIA-AV.ESPAÑA
151,MADRID (Plaza de Castilla) - ALCOBENDAS,17,AV.ESPAÑA-AYUNTAMIENTO
151,MADRID (Plaza de Castilla) - ALCOBENDAS,18,AV.ESPAÑA-CENTRO DE SALUD
151,MADRID (Plaza de Castilla) - ALCOBENDAS,19,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),1,INTERCAMBIADOR DE PLAZA CASTILLA
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),2,Pº CASTELLANA-HOSPITAL LA PAZ
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),3,AV.BURGOS-FCO.PI Y MARGALL
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),4,AV.BURGOS-C.C.SANCHINARRO
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),5,AV.BURGOS-DOMINICOS
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),6,CTRA.A1-CUESTA BLANCA
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),7,CTRA.IRÚN-CONCESIONARIO
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),8,AV.OLÍMPICA-C.C.LA VEGA
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),9,PºEUROPA-AV.JUNCAL
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),10,PºEUROPA-MARÍA SANTOS COLMENAR
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),11,PºEUROPA-LEOPOLDO GIMENO
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),12,ISLA GRACIOSA-ISLA DE HIERRO
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),13,ISLA GRACIOSA-ANTENA 3
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),14,PºEUROPA-HOSPITAL INFANTA SOFÍA
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),15,PZA.CONCHA ESPINA-MARÍA MOLINER
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),16,JOSÉ HIERRO-MERCÉ RODODERA
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),17,JOSÉ HIERRO-JULIO REY PASTOR
152C,MADRID (Plaza de Castilla) - S.S. de los Reyes (Dehesa Vieja),18,SALVADOR MADARIAGA-C.C.ALEGRA
153,MADRID (Plaza de Castilla) - Alcobendas - Rosa Luxemburgo,1,INTERCAMBIADOR DE PLAZA CASTILLA
153,MADRID (Plaza de Castilla) - Alcobendas - Rosa Luxemburgo,2,Pº CASTELLANA-HOSPITAL LA PAZ
